id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
1,SKANDI BARRA,954942860,Asco - TMB,-160389100,ELGIN,66057637,1,0,67
2,SKANDI RONA,-1354178746,Shell Outbound,-1736469728,SCOTER (oil),-1442538815,5,0,1
3,SKANDI RONA,-1354178746,BP,2126,GANNET G,-949074896,5,1,17
4,SKANDI RONA,-1354178746,BP,2126,GANNET A,-949074902,5,1,18
5,SKANDI RONA,-1354178746,BP,2126,GANNET E,-949074898,5,1,21
6,SKANDI RONA,-1354178746,BP,2126,GANNET C,-949074900,5,1,20
7,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
8,ISLAND CHALLENGER,-1182779558,Shell,79851024,MONAN,73541657,2,1,64
9,SEA TANTALUS,1033933901,BP,2126,BUZZARD,965041792,2,0,47
10,SEA TANTALUS,1033933901,BP,2126,GOLDEN EAGLE,1429227533,2,0,46
11,HAVILA CRUSADER,1798630972,BP,2126,BUCHAN,1970090533,2,0,41
12,HAVILA CRUSADER,1798630972,BP,2126,MONTROSE,463927351,2,0,13
13,VESTLAND CETUS,-1663906517,BP,2126,SCOLTY,-1854442638,1,0,38
14,SKANDI BARRA,954942860,BP,2126,ELGIN,66057637,1,0,67
15,SKANDI BUCHAN,-443528389,BP,2126,ELGIN,66057637,1,0,67
16,SKANDI RONA,-1354178746,BP,2126,GANNET G,-949074896,7,0,17
17,SKANDI RONA,-1354178746,BP,2126,GANNET A,-949074902,7,0,18
18,SKANDI RONA,-1354178746,Shell,79851024,GANNET E,-949074898,7,1,21
19,SKANDI RONA,-1354178746,BP,2126,HERON,68630420,7,1,3
20,SKANDI RONA,-1354178746,Shell,79851024,GANNET C,-949074900,7,1,20
21,SKANDI RONA,-1354178746,schlumberger,-2132573103,SCOTER (oil),-1442538815,7,1,1
22,SKANDI RONA,-1354178746,BP,2126,MERGANSER,115750726,7,1,2
23,ISLAND CHALLENGER,-1182779558,Shell,79851024,MARNOCK-SKUA (oil),-1834447383,4,0,5
24,ISLAND CHALLENGER,-1182779558,Shell,79851024,MIRREN,-2020581755,4,0,65
25,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,1,6
26,ISLAND CHALLENGER,-1182779558,Shell,79851024,MONAN,73541657,4,1,64
27,SEA TANTALUS,1033933901,BP,2126,BUZZARD,965041792,2,0,47
28,SEA TANTALUS,1033933901,Shell,79851024,GOLDEN EAGLE,1429227533,2,1,46
29,GRAMPIAN SCEPTRE,398550601,Shell,79851024,WOOD,2670253,5,0,12
30,GRAMPIAN SCEPTRE,398550601,BP,2126,BRECHIN,859081663,5,1,7
31,GRAMPIAN SCEPTRE,398550601,Shell,79851024,CARNOUSTIE,-2071798339,5,1,10
32,GRAMPIAN SCEPTRE,398550601,BP,2126,ARKWRIGHT,68113087,5,1,8
33,GRAMPIAN SCEPTRE,398550601,BP,2126,BUCHAN,1970090533,5,1,41
34,HAVILA CRUSADER,1798630972,Shell,79851024,ARBROATH,-952916089,2,0,11
35,HAVILA CRUSADER,1798630972,Shell,79851024,GODWIN,2107739616,2,0,14
