id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
1,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
2,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
3,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,2,0,64
4,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
5,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
6,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
7,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
8,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0,64
9,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
10,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,2,0,64
11,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,2,0,65
12,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0,64
13,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
14,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,1,0,18
15,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
16,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
17,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,1,0,64
18,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
19,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
20,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
21,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
22,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0,64
23,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
24,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
25,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
26,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
27,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
28,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,2,1,7
29,EDDA FRIGG,2061095641,TOTAL,80012068,ELGIN,66057637,1,0,67
30,BOURBON BORGSTEIN,317407486,BP,2126,MIRREN,-2020581755,2,0,65
31,BOURBON BORGSTEIN,317407486,BP,2126,MONAN,73541657,2,0,64
32,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
33,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
34,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
35,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
36,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,2,0,64
37,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
38,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
39,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
40,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,2,1,7
41,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
42,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
43,HAVILA COMMANDER,307948441,BP,2126,MADOES,-2028389875,2,0,66
44,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,2,1,67
45,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
46,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
47,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,1,0,18
48,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
49,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
50,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
51,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
52,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
53,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
54,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
55,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
