id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
1,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
2,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,5,0,1
3,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,5,0,17
4,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,5,0,18
5,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,5,0,21
6,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,5,0,20
7,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
8,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0,64
9,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
10,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
11,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,2,0,41
12,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,2,0,13
13,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,SCOLTY,-1854442638,1,0,38
14,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
15,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
16,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,7,0,17
17,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,7,0,18
18,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,7,0,21
19,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,7,0,3
20,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,7,0,20
21,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,7,0,1
22,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,7,0,2
23,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,4,0,5
24,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,4,0,65
25,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
26,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,4,0,64
27,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
28,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
29,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,4,0,12
30,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,4,0,10
31,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,GODWIN,2107739616,4,0,14
32,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,4,0,41
33,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BRECHIN,859081663,3,0,7
34,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARBROATH,-952916089,3,0,11
35,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARKWRIGHT,68113087,3,0,8
36,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,GROUSE,2110836259,3,0,34
37,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,3,0,37
38,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,3,0,35
39,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
40,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,6,0,18
41,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,6,0,21
42,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,6,0,20
43,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,6,0,1
44,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,6,0,2
45,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,6,0,17
46,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,4,0,65
47,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
48,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,4,0,64
49,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,4,0,5
50,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
51,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
52,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARKWRIGHT,68113087,6,0,8
53,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,GODWIN,2107739616,6,0,14
54,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,WOOD,2670253,6,0,12
55,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BRECHIN,859081663,6,0,7
56,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARBROATH,-952916089,6,0,11
57,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,CARNOUSTIE,-2071798339,6,0,10
58,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,1,0,41
59,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,3,0,35
60,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,GROUSE,2110836259,3,0,34
61,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,3,0,37
62,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
63,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,6,0,18
64,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,6,0,21
65,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,6,0,3
66,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,6,0,20
67,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,6,0,1
68,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,6,0,17
69,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,4,0,65
70,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
71,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,4,0,64
72,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,4,0,5
73,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
74,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
75,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,GODWIN,2107739616,7,0,14
76,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,7,0,13
77,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,7,0,41
78,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,7,0,12
79,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,7,0,7
80,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,7,0,11
81,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARKWRIGHT,68113087,7,0,8
82,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,GROUSE,2110836259,3,0,34
83,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,3,0,37
84,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,3,0,35
85,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
86,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,7,0,18
87,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,7,0,21
88,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,7,0,3
89,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,7,0,20
90,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,7,0,1
91,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,7,0,2
92,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,7,0,17
93,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,4,0,65
94,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
95,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,4,0,64
96,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,4,0,5
97,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
98,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
99,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,7,0,41
100,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,7,0,12
101,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,7,0,7
102,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,7,0,11
103,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,7,0,10
104,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARKWRIGHT,68113087,7,0,8
105,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,GODWIN,2107739616,7,0,14
106,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,3,0,35
107,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,GROUSE,2110836259,3,0,34
108,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,3,0,37
109,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
110,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,3,0,21
111,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,3,0,1
112,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,3,0,2
113,NORTH PROMISE,-1394967360,SHELL,78865936,HERON,68630420,4,0,3
114,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET C,-949074900,4,0,20
115,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET G,-949074896,4,0,17
116,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET D,-949074899,4,0,16
117,STRIL ODIN,-1180463258,SHELL,78865936,GANNET A,-949074902,1,0,18
118,ISLAND CHALLENGER,-1182779558,BP,2126,MADOES,-2028389875,4,0,66
119,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,4,0,65
120,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
121,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,4,0,64
122,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,3,0,47
123,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,3,0,46
124,SEA TANTALUS,1033933901,NEXEN,74177002,ETTRICK,-701815836,3,0,45
125,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,GODWIN,2107739616,4,0,14
126,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARBROATH,-952916089,4,0,11
127,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,CARNOUSTIE,-2071798339,4,0,10
128,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARKWRIGHT,68113087,4,0,8
129,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,3,0,41
130,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,TWEEDSMUIR,1171872259,3,0,43
131,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,3,0,7
132,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,4,0,9
133,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,4,0,7
134,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,HANNAY,2123728497,4,0,44
135,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,TWEEDSMUIR SOUTH,-1980599984,4,0,42
136,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,GODWIN,2107739616,1,0,14
137,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,2,0,37
