id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
1,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,SCOLTY,-1854442638,3,0,38
2,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET C,-949074900,3,1,20
3,VESTLAND CETUS,-1663906517,SHELL,78865936,SCOTER (oil),-1442538815,3,1,1
4,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,BUCHAN,1970090533,3,0,41
5,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,3,1,47
6,VESTLAND CETUS,-1663906517,NEXEN,74177002,GOLDEN EAGLE,1429227533,3,1,46
7,SKANDI RONA,-1354178746,REPSOL,-1881188397,MONTROSE,463927351,1,0,13
8,SKANDI RONA,-1354178746,BP,2126,MARNOCK-SKUA (cond),-1044193739,6,0,6
9,SKANDI RONA,-1354178746,BP,2126,MONAN,73541657,6,0,64
10,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,6,1,21
11,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,6,1,17
12,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,6,1,18
13,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,6,1,67
14,SKANDI CAPTAIN,-537194322,ENQUEST,-876275271,GROUSE,2110836259,5,0,34
15,SKANDI CAPTAIN,-537194322,ENQUEST,-876275271,CRATHES,1743397588,5,0,37
16,SKANDI CAPTAIN,-537194322,BP,2126,MARNOCK-SKUA (cond),-1044193739,5,1,6
17,SKANDI CAPTAIN,-537194322,SHELL,78865936,SCOTER (oil),-1442538815,5,1,1
18,SKANDI CAPTAIN,-537194322,SHELL,78865936,MERGANSER,115750726,5,1,2
19,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,8,0,35
20,VESTLAND CETUS,-1663906517,NEXEN,74177002,GOLDEN EAGLE,1429227533,8,1,46
21,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (oil),-1834447383,8,1,5
22,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET E,-949074898,8,1,21
23,VESTLAND CETUS,-1663906517,SHELL,78865936,HERON,68630420,8,1,3
24,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET C,-949074900,8,1,20
25,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET G,-949074896,8,1,17
26,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET A,-949074902,8,1,18
27,SKANDI RONA,-1354178746,REPSOL,-1881188397,BUCHAN,1970090533,6,0,41
28,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,6,0,12
29,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARBROATH,-952916089,6,0,11
30,SKANDI RONA,-1354178746,REPSOL,-1881188397,GODWIN,2107739616,6,0,14
31,SKANDI RONA,-1354178746,NEXEN,74177002,BUZZARD,965041792,6,1,47
32,SKANDI RONA,-1354178746,BP,2126,MIRREN,-2020581755,6,1,65
33,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,1,0,12
34,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,5,0,7
35,BOURBON MONSOON,-376771394,REPSOL,-1881188397,CARNOUSTIE,-2071798339,5,0,10
36,BOURBON MONSOON,-376771394,REPSOL,-1881188397,ARKWRIGHT,68113087,5,0,8
37,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,5,1,64
38,BOURBON MONSOON,-376771394,TOTAL,80012068,ELGIN,66057637,5,1,67
39,BOURBON MONSOON,-376771394,TOTAL,80012068,ELGIN,66057637,1,0,67
40,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,GROUSE,2110836259,6,0,34
41,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,6,0,37
42,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,BUCHAN,1970090533,6,1,41
43,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,6,1,47
44,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET E,-949074898,6,1,21
45,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET A,-949074902,6,1,18
46,BOURBON MONSOON,-376771394,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
47,BOURBON MONSOON,-376771394,ENQUEST,-876275271,KITTIWAKE,-28175409,6,0,35
48,BOURBON MONSOON,-376771394,REPSOL,-1881188397,ARKWRIGHT,68113087,6,1,8
49,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,6,1,6
50,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (oil),-1834447383,6,1,5
51,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET G,-949074896,6,1,17
52,BOURBON MONSOON,-376771394,TOTAL,80012068,ELGIN,66057637,6,1,67
53,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,2,0,12
54,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,2,1,20
55,SKANDI RONA,-1354178746,REPSOL,-1881188397,BRECHIN,859081663,7,0,7
56,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARBROATH,-952916089,7,0,11
57,SKANDI RONA,-1354178746,REPSOL,-1881188397,CARNOUSTIE,-2071798339,7,0,10
58,SKANDI RONA,-1354178746,REPSOL,-1881188397,GODWIN,2107739616,7,0,14
59,SKANDI RONA,-1354178746,NEXEN,74177002,GOLDEN EAGLE,1429227533,7,1,46
60,SKANDI RONA,-1354178746,BP,2126,MONAN,73541657,7,1,64
61,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,7,1,20
62,VESTLAND CETUS,-1663906517,BP,2126,MIRREN,-2020581755,3,0,65
63,VESTLAND CETUS,-1663906517,SHELL,78865936,SCOTER (oil),-1442538815,3,1,1
64,VESTLAND CETUS,-1663906517,SHELL,78865936,MERGANSER,115750726,3,1,2
65,SKANDI RONA,-1354178746,BP,2126,MIRREN,-2020581755,4,0,65
66,SKANDI RONA,-1354178746,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
67,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,4,1,3
68,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARBROATH,-952916089,4,1,11
69,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,4,0,64
70,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET G,-949074896,4,1,17
71,BOURBON MONSOON,-376771394,TOTAL,80012068,ELGIN,66057637,4,1,67
72,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,4,1,7
73,SKANDI RONA,-1354178746,BP,2126,MARNOCK-SKUA (oil),-1834447383,2,0,5
74,SKANDI RONA,-1354178746,BP,2126,MIRREN,-2020581755,2,0,65
75,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET E,-949074898,7,0,21
76,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET A,-949074902,7,0,18
77,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,GROUSE,2110836259,7,1,34
78,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,7,1,37
79,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,BUCHAN,1970090533,7,1,41
80,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,7,1,47
81,VESTLAND CETUS,-1663906517,NEXEN,74177002,GOLDEN EAGLE,1429227533,7,1,46
82,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET C,-949074900,4,0,20
83,BOURBON MONSOON,-376771394,ENQUEST,-876275271,KITTIWAKE,-28175409,4,1,35
84,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,4,1,7
85,BOURBON MONSOON,-376771394,REPSOL,-1881188397,ARKWRIGHT,68113087,4,1,8
86,VESTLAND CETUS,-1663906517,SHELL,78865936,SCOTER (oil),-1442538815,4,0,1
87,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,WOOD,2670253,4,1,12
88,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,GODWIN,2107739616,4,1,14
89,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,MONTROSE,463927351,4,1,13
90,SKANDI RONA,-1354178746,ENQUEST,-876275271,GROUSE,2110836259,10,0,34
91,SKANDI RONA,-1354178746,ENQUEST,-876275271,CRATHES,1743397588,10,0,37
92,SKANDI RONA,-1354178746,ENQUEST,-876275271,KITTIWAKE,-28175409,10,0,35
93,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,10,1,12
94,SKANDI RONA,-1354178746,REPSOL,-1881188397,BRECHIN,859081663,10,1,7
95,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARBROATH,-952916089,10,1,11
96,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARKWRIGHT,68113087,10,1,8
97,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,10,1,3
98,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,10,1,20
99,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,10,1,17
100,SKANDI RONA,-1354178746,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
101,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BUCHAN,1970090533,6,0,41
102,BOURBON MONSOON,-376771394,REPSOL,-1881188397,CARNOUSTIE,-2071798339,6,0,10
103,BOURBON MONSOON,-376771394,NEXEN,74177002,BUZZARD,965041792,6,1,47
104,BOURBON MONSOON,-376771394,NEXEN,74177002,GOLDEN EAGLE,1429227533,6,1,46
105,BOURBON MONSOON,-376771394,BP,2126,MIRREN,-2020581755,6,1,65
106,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,6,1,6
107,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,GODWIN,2107739616,4,0,14
108,VESTLAND CETUS,-1663906517,BP,2126,MONAN,73541657,4,1,64
109,VESTLAND CETUS,-1663906517,SHELL,78865936,MERGANSER,115750726,4,1,2
110,VESTLAND CETUS,-1663906517,TOTAL,80012068,ELGIN,66057637,4,1,67
111,BOURBON MONSOON,-376771394,BP,2126,MIRREN,-2020581755,3,0,65
112,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (oil),-1834447383,3,0,5
113,BOURBON MONSOON,-376771394,SHELL,78865936,SCOTER (oil),-1442538815,3,1,1
